,product_id,tag
0,01DTJCERF6F4NRZ2WSJFFA1EYS,"['work', 'nightout', 'daytonight', 'weekend']"
1,01DVPBJ6464YKYGVAE0A1HMKGN,"['nightout', 'daytonight', 'weekend']"
2,01DPETNS8DB4MAR29ER6ESA7XA,"['daytonight', 'weekend']"
3,01DT50ZST2PX9C1KKZA4P73Q5Q,"['work', 'nightout', 'daytonight', 'weekend']"
4,01DVCQRRX4QYJV20667ZK52S82,"['daytonight', 'weekend']"
5,01DVMERT64RSJQBBJS9973N7HF,"['daytonight', 'weekend']"
6,01DS3P3NPXE2R3SFYNJNMCMSGZ,"['work', 'daytonight', 'weekend']"
7,01DPGS2915ZZY5BGMZPVB0Z3AN,"['work', 'daytonight', 'weekend']"
8,01DVPM8NMPDP0PEB3AH6MZXTCF,"['work', 'daytonight', 'weekend']"
9,01DVMG18KSHJ74RY99Q8XYKPVD,"['daytonight', 'weekend']"
10,01DPETFFTSDHQ66H03T0F58NX7,"['daytonight', 'weekend']"
11,01DPESWQ02NWKBDKA07T5ATPXV,"['daytonight', 'vacation', 'weekend']"
12,01DPGT6F3DFT5E371X1MB9YMC4,"['work', 'daytonight', 'weekend']"
13,01DTMYKXRM898RSTAYY28JJSSS,"['work', 'daytonight', 'weekend']"
14,01DPERKES7R7ZJCJ9HYWKTS528,"['work', 'nightout', 'daytonight']"
15,01DPGTXD3HEJ83GAWGBNB0PV92,"['work', 'weekend']"
16,01DS3R2WW4HG3Y6XMSW3FP1MFA,"['work', 'daytonight', 'weekend']"
17,01DPES95BX86GKMS1ZSJP1CS83,"['daytonight', 'weekend']"
18,01DVRR8RT6XFF8Z7C1MB7A16Z8,"['work', 'daytonight', 'weekend']"
19,01DPGXJXDY2WVT7AB3Q9YR8ZJT,"['nightout', 'daytonight', 'weekend']"
20,01DVRR6FFEE96YXGAVD399Y8VP,"['work', 'daytonight', 'vacation', 'weekend']"
21,01DTJ8DQ5SQYBS5HX6TDH2BSJP,"['daytonight', 'weekend']"
22,01DT51281DZCVH5KSYAMQA03R8,"['daytonight', 'weekend']"
23,01DPGXFHKP8MA3F81T2DG319GH,"['daytonight', 'vacation', 'weekend']"
24,01DS48RF5XHBDJM9YSC660YR14,"['work', 'daytonight', 'weekend']"
25,01DPER5W0953YAH19AA4XDV00F,"['work', 'daytonight', 'weekend']"
26,01DVRH4Y8ZB8YTPTZTQZKPPV69,"['daytonight', 'weekend']"
27,01DTJ8G50MTEAZ269BY9PDK0MC,"['daytonight', 'vacation', 'weekend']"
28,01DPESC70Q027MGKH56D1JNJHX,"['daytonight', 'vacation', 'weekend']"
29,01DVRQECV7C5A5HP72PC1N5VVZ,"['daytonight', 'weekend']"
30,01DVCSC1S7686AZAWWGN3RKH80,"['daytonight', 'weekend']"
31,01DVRHDWGHX8FG6VH1WFKET1N5,"['work', 'daytonight', 'weekend']"
32,01DVPC197YKNS4QNR3HB9Z0WE5,"['daytonight', 'weekend']"
33,01DVP8HWCYG3AP0Z0ZJFVME4W7,"['daytonight', 'weekend']"
34,01DT0DHZZKZ459GTEM63A3J7DT,"['nightout', 'daytonight', 'weekend']"
35,01DVPMPVY6EMYDH4GSV9EHXTFG,"['work', 'nightout', 'daytonight', 'weekend']"
36,01DT50Y8ZF07AGZBBMQER9MB9X,"['work', 'nightout', 'daytonight', 'weekend']"
37,01DVPPBZAPMTRXPSFXA7CJJ2W3,"['nightout', 'weekend']"
38,01DT513RRYT3SKH6X25G5VCH6B,"['work', 'daytonight', 'weekend']"
39,01DPD9MVZAPGVX5P3AY7Y53X9V,"['work', 'nightout', 'daytonight', 'weekend']"
40,01DPGV907RVE6WXD00BN285VQV,"['work', 'nightout', 'daytonight', 'weekend']"
41,01DT511MD0Y4H7DZCJTSE2AZQW,"['work', 'daytonight', 'weekend']"
42,01DWJ9VQESDPPDK4MVDM2R15CV,"['daytonight', 'weekend']"
43,01DVBR574EM61N3H0J8HAR3F8H,"['vacation', 'weekend']"
44,01DT37D30T21NTNYMQD8MZ13PJ,"['work', 'nightout', 'daytonight', 'weekend']"
45,01DWJCBPQ8R094AEN2NMJE78BF,"['work', 'daytonight', 'weekend']"
46,01DWJCRNW32AK8X4YGYYVDPP2D,"['work', 'nightout', 'daytonight', 'weekend']"
47,01DVVFTSXXB8V4QRX19D8Q03GJ,"['daytonight', 'weekend']"
48,01DV6HA09G19TFQ7SSM7BXF5BX,"['work', 'daytonight', 'weekend']"
49,01DS0RXDFKG62VMQ9TW7A33X6Y,"['daytonight', 'weekend']"
50,01DT517E1NSSWD0Y3ZFF8BRFMZ,"['daytonight', 'weekend']"
51,01DS3QDA8713QGCVA788MY3DWX,"['nightout', 'daytonight', 'weekend']"
52,01DSRBC9CEBJXJFD7JGQ9E7T5B,['weekend']
53,01DVVMB6B1J5FTGP4ZEVK12ECR,"['work', 'daytonight', 'weekend']"
54,01DWJA72EBF7WH4S7Z2CEE1JHM,"['work', 'daytonight', 'weekend']"
55,01DVPP6AP5V44EWB1BVH4DZ4TM,"['nightout', 'daytonight', 'weekend']"
56,01DVA4ZFKEST038Z045BWTFP77,"['daytonight', 'weekend']"
57,01DWFWGZF7H7CYWV2Y6XM05C3W,"['work', 'nightout', 'daytonight', 'weekend']"
58,01DS1HBV0DFRKDJ843XDMVQEXZ,"['work', 'daytonight', 'weekend']"
59,01DSEAJ3M0YTAW3XA16NH0G02R,"['daytonight', 'weekend']"
60,01DSR9CDE483S27S7YX918H0T7,"['daytonight', 'weekend']"
61,01DT0DKEEW7A764ZFKW8AJYMPX,"['vacation', 'weekend']"
62,01DVBWZDQBJ40DB22CE0C7DMYA,"['daytonight', 'weekend']"
63,01DT50R1BR975VSNW3NT4RJKBQ,"['work', 'daytonight', 'weekend']"
64,01DWFXB7018CKZWK06VPHEF468,"['daytonight', 'vacation', 'weekend']"
65,01DWFXSVHMEYG0R7TCNGCHEKEG,"['work', 'daytonight', 'weekend']"
66,01DTASPFSY8Q446Q3TJK5CGQVH,"['nightout', 'daytonight', 'weekend']"
67,01DT8ND4QVV25CDSARCDFCWZ11,"['work', 'nightout', 'daytonight', 'weekend']"
68,01DTASPAEE1A42PZ0KCZ7R078S,"['work', 'daytonight', 'weekend']"
69,01DTASNDTNWEZM6W2CE47VHVPJ,"['daytonight', 'vacation', 'weekend']"
70,01DTASNPKTHP79D2QAKBMP818Z,"['daytonight', 'weekend']"
71,01DT37D12C9NYGHCD6AYGRKT2G,"['daytonight', 'weekend']"
72,01DTATEBYYJZ3ZPXR7JRW1FPTT,"['nightout', 'daytonight', 'weekend']"
73,01DT37CW9048SBBCTQKVG8CPAZ,"['daytonight', 'weekend']"
74,01DT37D5VB0SGQQYD4MPKW5D7E,"['daytonight', 'weekend']"
75,01DT37D05YHQRRGE1KKPBHAAJP,"['work', 'nightout', 'daytonight', 'weekend']"
76,01DPH1EQGAW1S5C3XP0YEQ4J5N,"['work', 'daytonight']"
77,01DTATDR81EZ9S7DTYW3NE1QH0,"['work', 'daytonight', 'weekend']"
78,01DTATC3SS48V4SCBSXSP0S4E5,"['daytonight', 'weekend']"
79,01DTATCP2AKWS2P1FJGP9PNDJ1,"['work', 'daytonight', 'weekend']"
80,01DTATD9TRRGQETK31ECCMB464,"['daytonight', 'weekend']"
81,01DTATD00Z52Q6R1DRG5XWN1JJ,"['work', 'daytonight', 'weekend']"
82,01DTATE20BG80Z0SABYDKDCK3B,"['work', 'nightout', 'daytonight', 'weekend']"
83,01DTATEGRBVT69GXA1JCPJ0QFK,"['daytonight', 'weekend']"
84,01DT8NCNDBMNDQQREMHH7DS6BV,"['daytonight', 'weekend']"
85,01DTATFDX36XQB6JG6JZ58AZ98,"['nightout', 'daytonight', 'weekend']"
86,01DTATET7EBBP4SDQ4NSAMWAWX,"['work', 'nightout', 'weekend']"
87,01DTATF465YMS4F4Q9Y642PR3C,"['daytonight', 'weekend']"
88,01DTJ8ES5SWMYJAHY1JJDGTX3Z,"['daytonight', 'weekend']"
89,01DTATH3F9R1E3ECWZJTKD5MJA,"['work', 'daytonight', 'weekend']"
90,01DTATG6BVE7XFNBRA63DZ6JEN,"['work', 'daytonight', 'weekend']"
91,01DTATGB1XKDJJ9AK0YV1R5JG5,"['work', 'daytonight', 'weekend']"
92,01DTATGG2XJ7QTQC6A4PHQRYW5,"['nightout', 'daytonight', 'weekend']"
93,01DTATDK8JN8JKG4WERNMTQPB7,"['work', 'daytonight', 'weekend']"
94,01DTATGN3YQGYEPCXAD0E207TP,"['work', 'nightout', 'daytonight', 'weekend']"
95,01DTATGSMSV7FJYTPVAYEHPD8Z,"['daytonight', 'vacation', 'weekend']"
96,01DTATGYW72E9WEZHCKJBDFTCT,"['daytonight', 'vacation', 'weekend']"
97,01DTHXY8K9109WNWYRRQRNHWBN,"['work', 'daytonight', 'weekend']"
98,01DTJ8BNRJCMD36E0NY19MKZD3,"['daytonight', 'weekend']"
99,01DTJ8BQZJE4V5M6R7EWP63FWQ,"['daytonight', 'weekend']"
100,01DTJ8BWWDE8MAN8P91395TGQ4,"['daytonight', 'weekend']"
101,01DTJ8C7EK8SBRP5BH7Y0SYJSZ,"['work', 'nightout', 'daytonight', 'weekend']"
102,01DTJ8CMKVFSM152EGXQ57E2T3,"['daytonight', 'weekend']"
103,01DTJ8CYK1A02TKT0MC1FVRWMM,"['work', 'daytonight']"
104,01DTJ8D3BJGD1B6EKP9Y4QYPWT,"['daytonight', 'weekend']"
105,01DTJ8DDAG7F7XX0BBAC8AK3YD,"['work', 'daytonight', 'weekend']"
106,01DVBP9AHVQTZXJSBNJ0N2NYJP,"['work', 'nightout', 'daytonight', 'weekend']"
107,01DTJ8EB30824VJ8CH9G66DYGC,"['work', 'daytonight', 'weekend']"
108,01DTJ8EMCR26JCYAWK0CYST9H7,"['daytonight', 'weekend']"
109,01DTJ8F30NPDVH99C4ES7K4PWQ,"['work', 'daytonight', 'weekend']"
110,01DTJ8FCK9VKNBN5P453DA5DFP,"['daytonight', 'weekend']"
111,01DTJ8FHC9A0WKQ9Z30G3CS8GZ,"['daytonight', 'weekend']"
112,01DTJ8G03TEWRES24T1R04W8R3,"['daytonight', 'weekend']"
113,01DTJAZ3J5GNXMQ718T46ERBAX,"['nightout', 'daytonight', 'weekend']"
114,01DTJ8GXDJ5RA1J6VET54MBJDB,"['nightout', 'weekend']"
115,01DTJ8GRG3CT3FQ3A45GT3PYP6,"['work', 'nightout', 'daytonight', 'weekend']"
116,01DTJAZ7F9DRFPNF8W1H7SFT20,"['work', 'daytonight', 'weekend']"
117,01DTJBF28J3F9WNYDWGZ5BC8CF,"['daytonight', 'weekend']"
118,01DTJBFCD58JDP3RBA6CCZ8E2C,"['daytonight', 'weekend']"
119,01DSZSEGP1D27KKZ39J8SG3C35,"['daytonight', 'weekend']"
120,01DTJBR06HEYC2WWGJX1RKBZA4,"['work', 'nightout', 'daytonight', 'weekend']"
121,01DTJCCSQKDDVY7DH821S6SDXP,"['daytonight', 'weekend']"
122,01DTJCCY6S6KV2KJS79QK6CC08,"['daytonight', 'weekend']"
123,01DTJCD2QG8RKQ4HJKT4GBW888,"['daytonight', 'weekend']"
124,01DTJCD7X94105KDSE036PNP64,"['daytonight', 'weekend']"
125,01DTJCDCCS988BEPR8RVSQ2MM5,"['daytonight', 'weekend']"
126,01DTJCE09PWFZ6DCY0DJADM4HB,"['work', 'daytonight', 'weekend']"
127,01DTJCE596G5WGANPMXNENAXFJ,"['daytonight', 'weekend']"
128,01DTJCE9ZMH29TWHQC1CC8AWG5,"['daytonight', 'weekend']"
129,01DTJCEEPSEHH29G98KNDG4TFK,"['daytonight', 'weekend']"
130,01DTJCEKTMNHVSB3WHG9M5V1P7,"['vacation', 'weekend']"
